Fuel,CpRatio,EqRatio,NOx
Ethanol,12,0.907,3.741
Ethanol,12,0.761,2.295
Ethanol,12,1.108,1.498
Ethanol,12,1.016,2.881
Ethanol,12,1.189,0.76
Ethanol,9,1.001,3.12
Ethanol,9,1.231,0.638
Ethanol,9,1.123,1.17
Ethanol,12,1.042,2.358
Ethanol,12,1.215,0.606
Ethanol,12,0.93,3.669
Ethanol,12,1.152,1
Ethanol,15,1.138,0.981
Ethanol,18,0.601,1.192
Ethanol,7.5,0.696,0.926
Ethanol,12,0.686,1.59
Ethanol,12,1.072,1.806
Ethanol,15,1.074,1.962
Ethanol,15,0.934,4.028
Ethanol,9,0.808,3.148
Ethanol,9,1.071,1.836
Ethanol,7.5,1.009,2.845
Ethanol,7.5,1.142,1.013
Ethanol,18,1.229,0.414
Ethanol,18,1.175,0.812
Ethanol,15,0.568,0.374
Ethanol,15,0.977,3.623
Ethanol,7.5,0.767,1.869
Ethanol,7.5,1.006,2.836
Ethanol,9,0.893,3.567
Ethanol,15,1.152,0.866
Ethanol,15,0.693,1.369
Ethanol,15,1.232,0.542
Ethanol,15,1.036,2.739
Ethanol,15,1.125,1.2
Ethanol,9,1.081,1.719
Ethanol,9,0.868,3.423
Ethanol,7.5,0.762,1.634
Ethanol,7.5,1.144,1.021
Ethanol,7.5,1.045,2.157
Ethanol,18,0.797,3.361
Ethanol,18,1.115,1.39
Ethanol,18,1.07,1.947
Ethanol,18,1.219,0.962
Ethanol,9,0.637,0.571
Ethanol,9,0.733,2.219
Ethanol,9,0.715,1.419
Ethanol,9,0.872,3.519
Ethanol,7.5,0.765,1.732
Ethanol,7.5,0.878,3.206
Ethanol,7.5,0.811,2.471
Ethanol,15,0.676,1.777
Ethanol,18,1.045,2.571
Ethanol,18,0.968,3.952
Ethanol,15,0.846,3.931
Ethanol,15,0.684,1.587
Ethanol,7.5,0.729,1.397
Ethanol,7.5,0.911,3.536
Ethanol,7.5,0.808,2.202
Ethanol,7.5,1.168,0.756
Indolene,7.5,0.831,4.818
Indolene,7.5,1.045,2.849
Indolene,7.5,1.021,3.275
Indolene,7.5,0.97,4.691
Indolene,7.5,0.825,4.255
Indolene,7.5,0.891,5.064
Indolene,7.5,0.71,2.118
Indolene,7.5,0.801,4.602
Indolene,7.5,1.074,2.286
Indolene,7.5,1.148,0.97
Indolene,7.5,1,3.965
Indolene,7.5,0.928,5.344
Indolene,7.5,0.767,3.834
Ethanol,7.5,0.749,1.62
Ethanol,7.5,0.892,3.656
Ethanol,7.5,1.002,2.964
82rongas,7.5,0.873,6.021
82rongas,7.5,0.987,4.467
82rongas,7.5,1.03,3.046
82rongas,7.5,1.101,1.596
82rongas,7.5,1.173,0.835
82rongas,7.5,0.931,5.498
82rongas,7.5,0.822,5.47
82rongas,7.5,0.749,4.084
82rongas,7.5,0.625,0.716
94%Eth,7.5,0.818,2.382
94%Eth,7.5,1.128,1.004
94%Eth,7.5,1.191,0.623
94%Eth,7.5,1.132,1.03
94%Eth,7.5,0.993,2.593
94%Eth,7.5,0.866,2.699
94%Eth,7.5,0.91,3.177
94%Eth,12,1.139,1.151
94%Eth,12,1.267,0.474
94%Eth,12,1.017,2.814
94%Eth,12,0.954,3.308
94%Eth,12,0.861,3.031
94%Eth,12,1.034,2.537
94%Eth,12,0.781,2.403
94%Eth,12,1.058,2.412
94%Eth,12,0.884,2.452
94%Eth,12,0.766,1.857
94%Eth,7.5,1.193,0.657
94%Eth,7.5,0.885,2.969
94%Eth,7.5,0.915,2.67
Ethanol,18,0.812,3.76
Ethanol,18,1.23,0.672
Ethanol,18,0.804,3.677
Ethanol,18,0.712,
Ethanol,12,0.813,3.517
Ethanol,12,1.002,3.29
Ethanol,9,0.696,1.139
Ethanol,9,1.199,0.727
Ethanol,9,1.03,2.581
Ethanol,15,0.602,0.923
Ethanol,15,0.694,1.527
Ethanol,15,0.816,3.388
Ethanol,15,0.896,
Ethanol,15,1.037,2.085
Ethanol,15,1.181,0.966
Ethanol,7.5,0.899,3.488
Ethanol,7.5,1.227,0.754
Indolene,7.5,0.701,1.99
Indolene,7.5,0.807,5.199
Indolene,7.5,0.902,5.283
Indolene,7.5,0.997,3.752
Indolene,7.5,1.224,0.537
Indolene,7.5,1.089,1.64
Ethanol,9,1.18,0.797
Ethanol,7.5,0.795,2.064
Ethanol,18,0.99,3.732
Ethanol,18,1.201,0.586
Methanol,7.5,0.975,2.941
Methanol,7.5,1.089,1.467
Methanol,7.5,1.15,0.934
Methanol,7.5,1.212,0.722
Methanol,7.5,0.859,2.397
Methanol,7.5,0.751,1.461
Methanol,7.5,0.72,1.235
Methanol,7.5,1.09,1.347
Methanol,7.5,0.616,0.344
Gasohol,7.5,0.712,2.209
Gasohol,7.5,0.771,4.497
Gasohol,7.5,0.959,4.958
Gasohol,7.5,1.042,2.723
Gasohol,7.5,1.125,1.244
Gasohol,7.5,1.097,1.562
Gasohol,7.5,0.984,4.468
Gasohol,7.5,0.928,5.307
Gasohol,7.5,0.889,5.425
Gasohol,7.5,0.827,5.33
Gasohol,7.5,0.674,1.448
Gasohol,7.5,1.031,3.164
Methanol,7.5,0.871,3.113
Methanol,7.5,1.026,2.551
Methanol,7.5,0.598,0.204
Indolene,7.5,0.973,5.055
Indolene,7.5,0.98,4.937
Indolene,7.5,0.665,1.561
Ethanol,7.5,0.629,0.561
Ethanol,9,0.608,0.563
Ethanol,12,0.584,0.678
Ethanol,15,0.562,0.37
Ethanol,18,0.535,0.53
94%Eth,7.5,0.674,0.9
Gasohol,7.5,0.645,1.207
Ethanol,18,0.655,1.9
94%Eth,7.5,1.022,2.787
94%Eth,7.5,0.79,2.645
94%Eth,7.5,0.72,1.475
94%Eth,7.5,1.075,2.147
